Time [s],MOSI,CLK,EN
1.661188000,0,0,0
1.731078000,0,1,0
1.731088000,1,1,0
1.731182000,1,0,0
1.731218000,1,1,0
1.731290000,0,1,0
1.731314000,0,0,0
1.731352000,0,1,0
1.731448000,0,0,0
1.731486000,0,1,0
1.731594000,1,1,0
1.731626000,1,0,0
1.731664000,1,1,0
1.731804000,1,0,0
1.731842000,1,1,0
1.731982000,1,0,0
1.732020000,1,1,0
1.732128000,0,1,0
1.732154000,0,0,0
1.732190000,0,1,0
1.732354000,0,0,0
1.732390000,0,1,0
1.732532000,0,0,0
1.732568000,0,1,0
1.732684000,1,1,0
1.732716000,1,0,0
1.732754000,1,1,0
1.732894000,1,0,0
1.732932000,1,1,0
1.733058000,1,0,0
1.733094000,1,1,0
1.733150000,1,1,1
1.733232000,1,1,0
1.733318000,1,0,0
1.733354000,1,1,0
1.733426000,0,1,0
1.733450000,0,0,0
1.733488000,0,1,0
1.733584000,0,0,0
1.733622000,0,1,0
1.733754000,0,0,0
1.733792000,0,1,0
1.733932000,0,0,0
1.733970000,0,1,0
1.734110000,0,0,0
1.734148000,0,1,0
1.734288000,0,0,0
1.734326000,0,1,0
1.734488000,0,0,0
1.734526000,0,1,0
1.734666000,0,0,0
1.734704000,0,1,0
1.734844000,0,0,0
1.734882000,0,1,0
1.734996000,1,1,0
1.735030000,1,0,0
1.735066000,1,1,0
1.735192000,1,0,0
1.735230000,1,1,0
1.735286000,1,1,1
1.735368000,1,1,0
1.735452000,1,0,0
1.735490000,1,1,0
1.735562000,0,1,0
1.735586000,0,0,0
1.735622000,0,1,0
1.735720000,0,0,0
1.735756000,0,1,0
1.735890000,0,0,0
1.735926000,0,1,0
1.736068000,0,0,0
1.736104000,0,1,0
1.736220000,1,1,0
1.736254000,1,0,0
1.736290000,1,1,0
1.736400000,0,1,0
1.736424000,0,0,0
1.736460000,0,1,0
1.736598000,1,1,0
1.736632000,1,0,0
1.736668000,1,1,0
1.736778000,0,1,0
1.736802000,0,0,0
1.736840000,0,1,0
1.736980000,0,0,0
1.737018000,0,1,0
1.737132000,1,1,0
1.737166000,1,0,0
1.737202000,1,1,0
1.737328000,1,0,0
1.737366000,1,1,0
1.737422000,1,1,1
1.737504000,1,1,0
1.737588000,1,0,0
1.737626000,1,1,0
1.737698000,0,1,0
1.737722000,0,0,0
1.737758000,0,1,0
1.737856000,0,0,0
1.737892000,0,1,0
1.738026000,0,0,0
1.738062000,0,1,0
1.738204000,0,0,0
1.738240000,0,1,0
1.738382000,0,0,0
1.738418000,0,1,0
1.738560000,0,0,0
1.738596000,0,1,0
1.738760000,0,0,0
1.738798000,0,1,0
1.738938000,0,0,0
1.738976000,0,1,0
1.739090000,1,1,0
1.739124000,1,0,0
1.739160000,1,1,0
1.739302000,1,0,0
1.739338000,1,1,0
1.739464000,1,0,0
1.739502000,1,1,0
1.739558000,1,1,1
1.739624000,1,1,0
1.739746000,1,0,0
1.739784000,1,1,0
1.739892000,0,1,0
1.739918000,0,0,0
1.739954000,0,1,0
1.740070000,1,1,0
1.740102000,1,0,0
1.740140000,1,1,0
1.740248000,0,1,0
1.740274000,0,0,0
1.740310000,0,1,0
1.740410000,1,1,0
1.740444000,1,0,0
1.740480000,1,1,0
1.740614000,1,0,0
1.740652000,1,1,0
1.740760000,0,1,0
1.740784000,0,0,0
1.740822000,0,1,0
1.740962000,0,0,0
1.741000000,0,1,0
1.741140000,0,0,0
1.741178000,0,1,0
1.741322000,1,1,0
1.741356000,1,0,0
1.741394000,1,1,0
1.741534000,1,0,0
1.741572000,1,1,0
1.741712000,1,0,0
1.741750000,1,1,0
1.741890000,1,0,0
1.741928000,1,1,0
1.742106000,1,0,0
1.742142000,1,1,0
1.742284000,1,0,0
1.742320000,1,1,0
1.742462000,1,0,0
1.742498000,1,1,0
1.742640000,1,0,0
1.742676000,1,1,0
1.742854000,1,0,0
1.742892000,1,1,0
1.743032000,1,0,0
1.743070000,1,1,0
1.743210000,1,0,0
1.743248000,1,1,0
1.743388000,1,0,0
1.743426000,1,1,0
1.743604000,1,0,0
1.743640000,1,1,0
1.743782000,1,0,0
1.743818000,1,1,0
1.743960000,1,0,0
1.743996000,1,1,0
1.744136000,1,0,0
1.744174000,1,1,0
1.744352000,1,0,0
1.744388000,1,1,0
1.744530000,1,0,0
1.744566000,1,1,0
1.744708000,1,0,0
1.744744000,1,1,0
1.744886000,1,0,0
1.744922000,1,1,0
1.745100000,1,0,0
1.745138000,1,1,0
1.745278000,1,0,0
1.745316000,1,1,0
1.745456000,1,0,0
1.745494000,1,1,0
1.745634000,1,0,0
1.745672000,1,1,0
1.745850000,1,0,0
1.745886000,1,1,0
1.746028000,1,0,0
1.746064000,1,1,0
1.746206000,1,0,0
1.746242000,1,1,0
1.746384000,1,0,0
1.746420000,1,1,0
1.746598000,1,0,0
1.746636000,1,1,0
1.746776000,1,0,0
1.746814000,1,1,0
1.746954000,1,0,0
1.746992000,1,1,0
1.747132000,1,0,0
1.747170000,1,1,0
1.747270000,1,1,1
1.757442000,1,1,1
